MERAKI FLOWERS,0-0727,24-06-2021
Half-box,Product,Length,Stems,Price,Total
1,TARA,50,350,0.23,80.5
2,FREEDOM,60,700,0.28,196.0
1,CARRUSEL,50,350,0.23,80.5
1,VENDELA,50,350,0.23,80.5
1,CHERRY OH,50,175,0.23,40.25
,CHERRY OH,60,175,0.28,49.0
