MERAKI FLOWERS,0-0688,10-06-2021
Half-box,Product,Length,Stems,Price,Total
1,NINA,70,300,0.3,90.0
1,EXPLORER,100,200,0.45,90.0
1,HOT EXPLORER,70,350,0.35,122.5
,HOT EXPLORER,60,75,0.3,22.5
1,FREEDOM,70,200,0.33,66.0
1,EXPLORER,70,300,0.3,90.0
1,EXPLORER,70,300,0.3,90.0
