MERAKI FLOWERS,0-0652,25-05-2021
Half-box,Product,Length,Stems,Price,Total
1,PALOMA,60,25,0.3,37.5
,PALOMA,50,25,0.28,49.0
1,MONDIAL,70,25,0.35,105.0
1,EXPLORER,60,25,0.28,84.0
1,PFLOYD,50,25,0.28,7.0
,FREEDOM,50,25,0.23,11.5
,FREEDOM,60,25,0.25,56.25
4,CARNATION RED,70,25,0.14,56.0
