MERAKI FLOWERS,0-0681,06-04-2021
Half-box,Product,Length,Stems,Price,Total
1,HB,50,350,0.23,80.5
2,HB,70,600,0.33,198.0
2,HB,70,250,0.33,82.5
1,HB,70,250,0.32,80.0
1,HB,50,350,0.23,80.5
2,HB,50,350,0.22,77.0
1,HB,70,125,0.33,41.25
,,80,125,0.33,41.25
1,HB,70,125,0.33,41.25
,,80,125,0.33,41.25
3,HB,70,750,0.33,247.5
1,HB,70,350,0.35,122.5
4,HB,60,1400,0.28,392.0
1,HB,60,125,0.3,37.5
,,70,125,0.33,41.25
,,60,75,0.3,22.5
,,60,25,0.3,7.5
1,HB,60,350,0.3,105.0
