MERAKI FLOWERS,0-0938,03-09-2021
Half-box,Product,Length,Stems,Price,Total
1,MONDIAL,50,25,0.3,7.5
,MONDIAL,60,25,0.35,8.75
,MONDIAL,70,50,0.4,20.0
,MONDIAL,80,150,0.45,67.5
1,EXPLORER,40,50,0.25,12.5
,EXPLORER,50,25,0.3,7.5
,EXPLORER,60,200,0.35,70.0
,EXPLORER,70,75,0.4,30.0
