MERAKI FLOWERS,0-0659,28-5-2021
Half-box,Product,Length,Stems,Price,Total
1,EXPLORER,70,150,0.3,45.0
,PLAYA BLANCA,60,25,0.3,7.5
,PLAYA BLANCA,70,125,0.35,43.75
