MERAKI FLOWERS,0-0602,04-05-2021
Half-box,Product,Length,Stems,Price,Total
1,CARROUSEL,50,300,0.25,75.0
1,CHERRY OH,50,350,0.25,87.5
1,HIGH MAGIC,50,350,0.25,87.5
2,MONDIAL,50,700,0.25,175.0
1,MONDIAL,60,300,0.3,90.0
1,PINK OHARA,50,350,0.25,87.5
1,EXPLORER,60,200,0.3,60.0
,EXPLORER,70,150,0.35,52.5
1,EXPLORER,80,300,0.4,120.0
1,MONDIAL,60,25,0.3,7.5
,MONDIAL,70,175,0.35,61.25
,PLAYA BLANCA,60,50,0.3,15.0
,PLAYA BLANCA,70,100,0.35,35.0
1,MONDIAL,80,300,0.4,120.0
