MERAKI FLOWERS,0-0661,28-5-2021
Half-box,Product,Length,Stems,Price,Total
1,EXPLORER,50,75,0.05,3.75
,MONDIAL,50,75,0.05,3.75
,FRUTTETO,50,50,0.05,2.5
,GOCHTA,50,50,0.05,2.5
,NINA,50,50,0.05,2.5
,DEEP PURPLE,50,50,0.05,2.5
,KAHALA,50,50,0.05,2.5
