MERAKI FLOWERS,0-0883,17-08-2021
Half-box,Product,Length,Stems,Price,Total
2,HB,80,300,0.35,105.0
1,HB,90,300,0.4,120.0
1,HB,80,250,0.35,87.5
1,HB,90,250,0.35,87.5
