MERAKI FLOWERS,0-0694,11-06-2021
Half-box,Product,Length,Stems,Price,Total
1,MONDIAL,70,300,0.32,96.0
1,MONDIAL,60,125,0.3,37.5
,MONDIAL,70,75,0.35,26.25
,PLAYA BLANCA,70,75,0.35,26.25
2,MONDIAL,70,600,0.33,198.0
2,EXPLORER,70,600,0.33,198.0
2,EXPLORER,70,600,0.33,198.0
1,HOT EXPLORER,60,275,0.28,77.0
,EXPLORER,60,75,0.25,18.75
1,DEEP PURPLE,50,50,0.23,11.5
,DEEP PURPLE,60,75,0.26,19.5
,HIGH MAGIC,60,75,0.26,19.5
1,VENDELA,50,350,0.22,77.0
2,FREEDOM,70,700,0.22,154.0
